127.0.0.1 - - [30/Jan/2017:13:44:20 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:44:23 +0900] "GET /jspMain/ch10-mvc/01/list.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:44:23 +0900] "GET /jspMain/ch10-mvc/01/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:44:25 +0900] "GET /jspMain/ch10-mvc/01/write_view.do HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:44:27 +0900] "GET /jspMain/ch10-mvc/01/list.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:44:28 +0900] "GET /jspMain/ch10-mvc/01/list.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:46:17 +0900] "GET /jspMain/ch10-mvc/01/list.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:46:18 +0900] "GET /jspMain/ch10-mvc/01/write_view.do HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:46:19 +0900] "GET /jspMain/ch10-mvc/01/list.do HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:46:29 +0900] "GET /jspMain/ch10-mvc/01/list.do?nowPage=2 HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:46:31 +0900] "GET /jspMain/ch10-mvc/01/list.do?nowPage=3 HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:56:17 +0900] "GET /jspMain/ch10-mvc/01/list.do?nowPage=2 HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:57:09 +0900] "GET /jspMain/ch10-mvc/01/write_view.do HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [30/Jan/2017:13:58:50 +0900] "GET /jspMain/ch10-mvc/01/list.do HTTP/1.1" 200 2202
